STT,Aircraft,Aircraft_type,Flight,Aircraft_registration,Flight_route,Flight_type,Flight_purpose,Departure_airport,Arrival_airport,Flight_level,Take_off_time,Take_off_date
251,A321,M,VJC501,VNA632,W1/Q1,ND,PAX,VVNB,VVDN,280,20:59:26,30/10/2025
252,A320,M,CHB6424,B-9949,R474,LD,PAX,VVNB,ZUCK,270,21:02:36,30/10/2025
253,B738,M,CTJ3862,B-5439,R474,LD,CAR,VVNB,ZGNN,250,21:05:24,30/10/2025
254,A321,M,VAG787,VNA289,W1/Q1,ND,PAX,VVNB,VVTS,280,21:08:15,30/10/2025
255,A321,M,HVN221,VNA397,W1/Q1,ND,PAX,VVNB,VVTS,320,21:16:02,30/10/2025
256,A320,M,VAG791,VNA135,W1/Q1,ND,PAX,VVNB,VVTS,320,21:18:29,30/10/2025
257,A319,M,MMA451,XY-ALN,R474,LD,PAX,VVNB,VYYY,380,21:26:15,30/10/2025
258,B77L,H,CKK288,B-222J,R474,LD,CAR,VVNB,ZSPD,290,21:31:37,30/10/2025
259,B744,H,CAL6888,B-18719,R474,LD,CAR,VVNB,RCTP,330,21:36:12,30/10/2025
260,A320,M,VJC7238,VNA675,R474,LD,PAX,VVNB,ZSPD,310,21:42:26,30/10/2025
261,B77L,H,THY6359,TC-LJP,W21,LD,CAR,VVNB,VIDP,340,21:46:16,30/10/2025
262,A21N,M,AIQ645,HS-EAG,R474,LD,PAX,VVNB,VTBD,340,21:50:31,30/10/2025
263,A21N,M,HVN7217,VNA616,W1/Q1,ND,PAX,VVNB,VVTS,360,09:53:43,30/10/2025
264,A321,M,HVN267,VNA338,W1/Q1,ND,PAX,VVNB,VVTS,360,22:10:33,30/10/2025
265,A321,M,VJC123,VNA651,W1/Q1,ND,PAX,VVNB,VVTS,320,22:33:11,30/10/2025
266,A333,H,BCS574,D-ALMG,R474,LD,CAR,VVNB,VHHH,310,22:36:53,30/10/2025
267,B738,M,KMI525,HS-KMD,R474,LD,CAR,VVNB,VHHH,310,22:45:37,30/10/2025
268,B738,M,MP708,VT-AFO,R474,LD,CAR,VVNB,VOMM,360,22:48:39,30/10/2025
269,A320,M,VJC161,VNA689,W1/Q1,ND,PAX,VVNB,VVTS,360,23:02:36,30/10/2025
270,B739,M,BAV283,PK-BBK,W1/Q1,ND,PAX,VVNB,VVTS,320,23:05:35,30/10/2025
271,A321,M,VJC7306,VNA683,W22,LD,PAX,VVNB,ZUTF,330,23:10:37,30/10/2025
272,A359,H,THY165,TC-LGI,W21,LD,PAX,VVNB,LTFM,360,23:13:11,30/10/2025
273,A321,M,PIC6025,VNA363,W1/Q1,ND,PAX,VVNB,VVTS,320,23:15:40,30/10/2025
274,B789,H,KAL448,HL7207,R474,LD,PAX,VVNB,RKSI,390,23:19:27,30/10/2025
275,A20N,M,AMU981,B-MCL,R474,LD,PAX,VVNB,VMMC,290,23:21:59,30/10/2025
276,A20N,M,BAV834,VNA596,R474,LD,PAX,VVNB,ZJSY,310,23:32:09,30/10/2025
277,B763,H,FDX6002,N122FE,R474,LD,CAR,VVNB,ZGFS,270,23:45:16,30/10/2025
278,B738,M,LHA4202,B-220N,R474,LD,CAR,VVNB,ZHCC,310,23:52:33,30/10/2025
279,A321,M,VJC7526,VNA629,R474,LD,PAX,VVNB,ZGGG,270,23:54:53,30/10/2025
280,B78X,H,HVN416,VNA879,R474,LD,PAX,VVNB,RKSI,390,23:58:01,30/10/2025
281,A321,M,HVN262,VNA512,Q2/W1,ND,PAX,VVTS,VVNB,310,22:20:00,10/29/2025
282,A321,M,HVN224,VNA353,Q2/W1,ND,PAX,VVTS,VVNB,350,22:34:00,10/29/2025
283,B738,M,JJA2201,HL8335,R474,LD,PAX,RKSI,VVNB,340,20:01:00,10/29/2025
284,A321,M,VJC3521,VNA550,N639/Q1,ND,PAX,VVPQ,VVNB,350,22:45:00,10/29/2025
285,A321,M,PIC6022,VNA359,Q2/W1,ND,PAX,VVTS,VVNB,350,22:43:00,10/29/2025
286,A320,M,CSZ107,B6357,R474,LD,PAX,ZGSZ,VVNB,300,23:12:00,10/29/2025
287,A321,M,HVN270,VNA602,Q2/W1,ND,PAX,VVTS,VVNB,350,23:20:00,10/29/2025
288,B738,M,CES5075,B1316,R474,LD,PAX,ZSPD,VVNB,340,22:07:00,10/29/2025
289,B738,M,AIH371,HL8319,R474,LD,CAR,RKSI,VVNB,340,21:35:00,10/29/2025
290,A21N,M,CEB746,RPC4123,W1,LD,PAX,RPLL,VVNB,350,22:59:00,10/29/2025
291,A321,M,VJC182,VNA631,Q2/W1,ND,PAX,VVTS,VVNB,310,00:14:00,10/30/2025
292,B744,H,KAL361,HL7603,R474,LD,PAX,RKSI,VVNB,340,22:03:00,10/29/2025
293,B738,M,KXP220,9MKXP,L637,LD,CAR,WMKK,VVNB,350,23:09:00,10/29/2025
294,A320,M,VJC7343,VNA663,R474,LD,PAX,ZLXY,VVNB,340,00:10:00,10/30/2025
295,A321,M,PAL595,RPC9926,W1,LD,PAX,RPLL,VVNB,340,00:21:00,30/10/2025
296,B744,H,GTI8244,N430GT,R474,LD,PAX,RKSI,VVNB,380,23:01:00,10/29/2025
297,B744,H,AIH933,HL7646,R474,LD,CAR,RKSI,VVNB,340,23:19:00,10/29/2025
298,A320,M,IGO1631,VTIQL,R474,LD,PAX,VECC,VVNB,350,01:20:00,10/30/2025
299,B763,H,AIH387,HL7507,R474,LD,CAR,RKSI,VVNB,340/360,23:29:00,10/29/2025
300,A320,M,VJC7713,VNA689,R474,LD,PAX,ZBAD,VVNB,280,00:34:00,10/30/2025
301,B77L,H,KAL8387,HL8226,R474,LD,PAX,RKSI,VVNB,340,00:00:00,10/30/2025
302,B744,H,GTI9145,N419MC,R474,LD,CAR,EHAM,VVNB,410/380,17:03:00,10/29/2025
303,A321,M,VJC7527,VNA642,R474,LD,PAX,ZGGG,VVNB,300,03:17:00,10/30/2025
304,A321,M,VJC7816,VNA673,W1,LD,PAX,RPLL,VVNB,340/350,01:55:00,10/30/2025
305,A321,M,HVN984,VNA329,R474,LD,PAX,VOHS,VVNB,350,00:59:00,10/30/2025
306,B789,H,HVN56,VNA871,R474,LD,PAX,EGLL,VVNB,350/390,18:12:00,10/29/2025
307,A320,M,VJC7239,VNA651,R474,LD,PAX,ZSPD,VVNB,300,01:55:00,10/30/2025
308,B763,H,FDX6001,N122FE,R474,LD,CAR,ZGGG,VVNB,300,04:03:00,10/30/2025
309,A321,M,VJC1924,VNA545,R474,LD,PAX,VAAH,VVNB,330,01:24:00,10/30/2025
310,A359,H,HVN980,VNA888,R474,LD,PAX,VIDP,VVNB,390,01:56:00,10/30/2025
311,A320,M,VJC1926,VNA669,R474,LD,PAX,VAAH,VVNB,330,01:47:00,10/30/2025
312,A359,H,HVN18,VNA898,R474,LD,PAX,LFPG,VVNB,390,19:33:00,10/29/2025
313,A321,M,VJC910,VNA542,R474,LD,PAX,VABB,VVNB,310,01:56:00,10/30/2025
314,B789,H,HVN36,VNA870,R474,LD,PAX,EDDF,VVNB,370,20:14:00,10/29/2025
315,A332,H,HKC317,BLNX,R474,LD,CAR,VHHH,VVNB,360,04:42:00,10/30/2025
316,IL76,H,SUM9121,RA76363,R474,LD,EXTTM,UWGG,VVNB,310/330,01:17:00,10/30/2025
317,B772,H,QTR8954,A7BFE,B124/W21,LD,PAX,OTHH,VVNB,390/410,00:20:00,10/30/2025
318,A321,M,VJC502,VNA628,W1,ND,PAX,VVDN,VVNB,290,05:53:00,10/30/2025
319,A321,M,PIC6002,VNA363,Q2/W1,ND,PAX,VVTS,VVNB,310,05:13:00,10/30/2025
320,B789,H,QTR982,A7BHF,B124/W21,LD,PAX,OTHH,VVNB,330/390,00:44:00,10/30/2025
321,A321,M,HVN646,VNA332,W1,LD,PAX,RPLL,VVNB,340,04:30:00,10/30/2025
322,A321,M,VJC122,VNA693,Q2/W1,ND,PAX,VVTS,VVNB,350,05:28:00,10/30/2025
323,A21N,M,CEB744,RPC4127,W1,LD,PAX,RPLL,VVNB,340/330,04:21:00,10/30/2025
324,B744,H,CLX7623,LXVCD,R474,LD,CAR,OJAI,VVNB,350,23:27:00,10/29/2025
325,A330,H,VJC124,VNA817,Q2/W1,ND,PAX,VVTS,VVNB,410,05:52:00,30/10/2025
326,A321,M,HVN156,VNA613,W1,ND,PAX,VVDN,VVNB,270,06:38:00,10/30/2025
327,A321,M,VAG750,VNA289,Q2/W1,ND,PAX,VVTS,VVNB,350,05:54:00,30/10/2025
328,A320,M,AXM516,9MAQP,W1,LD,PAX,WMKK,VVNB,350,05:20:00,10/30/2025
329,B738,M,KMI525,HSKMD,R474,LD,PAX,VTBS,VVNB,370,06:55:00,30/10/2025
330,A320,M,AIQ642,HSBBT,R474,LD,PAX,VTBD,VVNB,370,06:59:00,10/30/2025
331,A320,M,CSZ101,B6939,R474,LD,PAX,ZGSZ,VVNB,340,07:10:00,30/10/2025
332,A330,H,VJC126,VNA820,Q2/W1,ND,PAX,VVTS,VVNB,410,06:56:00,10/30/2025
333,A21N,M,HKE540,BKKD,R474,LD,CAR,VHHH,VVNB,360,07:07:00,30/10/2025
334,A321,M,HVN1540,VNA326,W10/W1,LD,PAX,VVPB,VVNB,290,07:53:00,10/30/2025
335,A321,M,HVN240,VNA356,Q2/W1,ND,PAX,VVTS,VVNB,350,07:18:00,30/10/2025
336,A359,H,HVN206,VNA879,Q2/W1,ND,PAX,VVTS,VVNB,390,07:20:00,10/30/2025
337,A320,M,VAG774,VNA136,Q2/W1,ND,PAX,VVTS,VVNB,350,07:22:00,30/10/2025
338,B738,M,BAV204,PKBBK,Q2/W1,ND,PAX,VVTS,VVNB,310,07:24:00,10/30/2025
339,A321,M,VJC506,VNA637,W1,ND,PAX,VVDN,VVNB,290,08:15:00,30/10/2025
340,B738,M,MYU8015,PKMYI,R474,LD,CAR,RPLC,VVNB,380/360,06:27:00,10/30/2025
341,A321,M,THA560,HSTXS,Q2/W1,ND,PAX,VVTS,VVNB,350,07:53:00,30/10/2025
342,A321,M,HVN226,VNA611,Q2/W1,ND,PAX,VVTS,VVNB,350,07:43:00,10/30/2025
343,A320,M,VAG638,VNA136,W1,ND,PAX,VVDN,VVNB,290,08:35:00,30/10/2025
344,A321,M,VJC148,VNA649,Q2/W1,ND,PAX,VVTS,VVNB,350/330,07:51:00,10/30/2025
345,A321,M,HVN579,VNA507,R474,LD,PAX,RCTP,VVNB,320,07:06:00,30/10/2025
346,A320,M,KHV854,XU350,N639/Q1,LD,PAX,VDTI,VVNB,350,08:13:00,10/30/2025
347,A321,M,VJC422,VNA644,Q2/W1,ND,PAX,VVPK,VVNB,310,08:32:00,30/10/2025
348,B77W,H,CPA741,BKQR,R474,LD,PAX,VHHH,VVNB,360,08:17:00,10/30/2025
349,A321,M,VJC482,VNA685,Q2/W1,ND,PAX,VVBM,VVNB,330,08:42:00,30/10/2025
350,A321,M,HVN587,VNA605,R474,LD,PAX,RCKH,VVNB,320/340,07:44:00,10/30/2025
351,A359,H,CAL791,B18902,R474,LD,PAX,RCTP,VVNB,400,07:32:00,30/10/2025
352,B789,H,HVN208,VNA861,Q2/W1,ND,PAX,VVTS,VVNB,390,08:26:00,10/30/2025
353,A321,M,VJC504,VNA683,W1,ND,PAX,VVDN,VVNB,290,09:15:00,30/10/2025
354,A21N,M,CSN3049,B32MC,R474,LD,PAX,ZGGG,VVNB,340,08:40:00,10/30/2025
355,A321,M,VJC981,VNA667,R474,LD,PAX,RKPK,VVNB,340,06:05:00,30/10/2025
356,A320,M,VJC460,VNA565,Q2,ND,PAX,VVCT,VVNB,310,08:22:00,10/30/2025
357,A321,M,HVN158,VNA614,W1,ND,PAX,VVDN,VVNB,290,09:19:00,30/10/2025
358,A32N,M,IGO9436,VTBYC,R474,LD,PAX,VIDP,VVNB,390,06:15:00,10/30/2025
359,A320,M,VJC402,VNA684,W1,ND,PAX,VVDL,VVNB,350,08:47:00,30/10/2025
360,A320,M,HVN1640,VNA513,Q2,ND,PAX,VVCA,VVNB,310,09:24:00,10/30/2025
361,A321,M,VJC136,VNA814,Q2/W1,ND,PAX,VVTS,VVNB,390,08:46:00,30/10/2025
362,A21N,M,KAL441,HL8559,R474,LD,PAX,RKSI,VVNB,340/360,06:20:00,10/30/2025
363,A320,M,BAV104,VNA596,W1 ,ND,PAX,VVDN,VVNB,290,09:51:00,30/10/2025
364,GA7C,M,HAI799,VNA799,R747,LD,PAX,PANC,VVNB,450/400,23:13:00,10/29/2025
365,A320,M,VJC442,VNA642,N639/Q1,ND,PAX,VVPQ,VVNB,350,09:24:00,10/30/2025
366,A321,M,HVN1614,VNA608,W1 ,ND,PAX,VVPK,VVNB,290,09:46:00,10/30/2025
367,A320,M,HVN1572,VNA515,W2,ND,PAX,VVDL,VVNB,310,09:33:00,10/30/2025
368,B737,H,MJJ821,VNA328,R474,LD,CAR,VTBD,VVNB,410,09:33:00,10/30/2025
369,A321,M,HVN164,VNA619,W1 ,ND,PAX,VVDN,VVNB,330,10:01:00,10/30/2025
370,B773,H,EVA397,B16727,R474,LD,PAX,RCTP,VVNB,340,08:41:00,10/30/2025
371,A320,M,VJC132,VNA699,Q2/W1,ND,PAX,VVTS,VVNB,350,09:27:00,10/30/2025
372,A321,M,HVN1602,VNA353,Q2/W1,ND,PAX,VVBM,VVNB,310,09:54:00,10/30/2025
373,A21N,M,CCA741,B328N,R474,LD,PAX,ZBAA,VVNB,300,07:59:00,10/30/2025
374,A321,M,PIC6080,VNA363,W1 ,ND,PAX,VVDN,VVNB,290,10:34:00,10/30/2025
375,A321,M,HVN1590,VNA358,W1 ,ND,PAX,VVDH,VVNB,270,10:47:00,10/30/2025
376,A359,H,SIA192,9VSHR,W1,LD,PAX,WSSS,VVNB,390,08:34:00,10/30/2025
377,A321,M,VJC959,VNA687,R474,LD,PAX,RJFF,VVNB,360,07:23:00,10/30/2025
378,A321,M,HVN1200,VNA399,Q2 ,ND,PAX,VVCT,VVNB,330,09:56:00,10/30/2025
379,A321,M,HVN1236,VNA338,N639/Q1,ND,PAX,VVPQ,VVNB,350,10:09:00,10/30/2025
380,A321,M,PAL593,RPC9902,W1,LD,PAX,RPLL,VVNB,300/320,09:12:00,10/30/2025
381,A333,H,AAR729,HL7741,R474,LD,PAX,RKSI,VVNB,380,07:35:00,10/30/2025
382,A320,M,VJC440,VNA675,N639/Q1,ND,PAX,VVPQ,VVNB,350,10:21:00,10/30/2025
383,B789,H,HVN244,VNA871,Q2/W1,ND,PAX,VVTS,VVNB,390,10:18:00,10/30/2025
384,A321,M,CCA703,B6942,R474,LD,PAX,ZSPD,VVNB,320,08:51:00,10/30/2025
385,B738,M,MAS752,9MMLO,W1,LD,PAX,WMKK,VVNB,370/350,09:01:00,10/30/2025
386,A359,H,HVN210,VNA888,Q2/W1,ND,PAX,VVTS,VVNB,390,10:24:00,10/30/2025
387, A321,M,VJC128,VNA631,Q2/W1,ND,PAX,VVTS,VVNB,350,10:29:00,10/30/2025
388,A321,M,HVN357,VNA512,R474,LD,PAX,RJFF,VVNB,340,08:04:00,10/30/2025
389,B789,H,QTR976,A7BHE,R474,LD,PAX,QTHH,VVNB,370,06:00:00,10/30/2025
390,A320,M,BAV224,JU1410,Q2/W1,ND,PAX,VVTS,VVNB,350,10:40:00,10/30/2025
391,B738,M,CSZ121,B1711,R474,LD,PAX,ZGGG,VVNB,320,10:43:00,10/30/2025
392,A320,M,AIQ640,HSBBT,R474,LD,PAX,VTBD,VVNB,350,10:50:00,10/30/2025
393,A321,M,HVN349,VNA334,R474,LD,PAX,RJGG,VVNB,300,07:59:00,10/30/2025
394,A330,H,VJC450,VNA812,N639/Q1,ND,PAX,VVPQ,VVNB,410,10:46:00,10/30/2025
395,A320,M,VJC939,VNA542,R474,LD,PAX,RJBB,VVNB,340,07:39:00,10/30/2025
396,A321,M,VJC921,VNA543,R474,LD,PAX,RJGG,VVNB,320,07:26:00,10/30/2025
397,B38M,M,MXD571,9MLRS,N639/Q1,LD,PAX,WMKK,VVNB,350,09:47:00,10/30/2025
398,A359,H,HVN429,VNA874,R474,LD,PAX,RKPK,VVNB,380,08:53:00,10/30/2025
399,A359,H,HVN417,VNA877,R474,LD,PAX,RKSI,VVNB,380,08:48:00,10/30/2025
400,A359,H,HVN335,VNA886,R474,LD,PAX,RJBB,VVNB,400,08:16:00,10/30/2025
401,A321,M,VJC3522,VNA550,W1 ,LD,PAX,VVPQ,VVNB,320,07:58:00,10/30/2025
402,B77W,H,UAE394,A6ENB,R474,LD,PAX,OMDB,VVNB,350,07:15:00,10/30/2025
403,A321,M,VJC780,VNA522,W1,ND,PAX,VVCR,VVNB,290,11:30:00,10/30/2025
404,A321,M,HVN583,VNA329,R474,LD,PAX,RCKH,VVNB,340,10:50:00,10/30/2025
405,A359,H,HVN311,VNA893,R474,LD,PAX,RJAA,VVNB,400,08:00:00,10/30/2025
406,A321,M,HVN166,VNA398,W1 ,ND,PAX,VVDN,VVNB,310,12:27:00,10/30/2025
407,A321,M,CES6011,B32KD,R474,LD,PAX,ZSPD,VVNB,320,10:19:00,10/30/2025
408,A321,M,VJC933,VNA545,R474,LD,PAX,RJAA,VVNB,320/360,07:58:00,10/30/2025
409,A321,M,VJC566,VNA644,W10/W1,ND,PAX,VVPB,VVNB,290,12:36:00,10/30/2025
410,A321,M,VJC961,VNA538,R474,LD,PAX,RKSI,VVNB,340,09:21:00,10/30/2025
411,A321,M,VJC770,VNA674,W1,ND,PAX,VVCR,VVNB,310,11:53:00,10/30/2025
412,A321,M,HVN7562,VNA613,W1,ND,PAX,VVCR,VVNB,310,11:58:00,10/30/2025
413,A320,M,CSZ103,B6720,R474,LD,PAX,ZGSZ,VVNB,300,12:14:00,10/30/2025
414,A320,M,CHB6423,B9949,R474,LD,PAX,ZUCK,VVNB,300,12:19:00,10/30/2025
415,A321,M,VJC508,VNA685,W1 ,ND,PAX,VVDN,VVNB,290,13:10:00,10/30/2025
416,A738,M,JDL2723,B225M,R474,LD,CAR,ZSWA,VVNB,340,11:34:00,10/30/2025
417,A321,M,VJC906,VNA632,W1,LD,PAX,WMKK,VVNB,310,11:38:00,10/30/2025
418,A21N,M,CSN8315,B321Z,R474,LD,PAX,ZGGG,VVNB,340,12:53:00,10/30/2025
419,B735,M,CES9605,B5527,R474,LD,PAX,ZPPP,VVNB,320,13:28:00,10/30/2025
420,B737,M,CXA869,B5280,R474,LD,PAX,ZSAM,VVNB,340,12:22:00,10/30/2025
421,A320,M,AXM512,9MAHL,W1,LD,PAX,WMKK,VVNB,310,11:39:00,10/30/2025
422,A321,M,HVN168,VNA507,W1,ND,PAX,VVDN,VVNB,270,13:36:00,10/30/2025
423,A322,M,VJC941,VNA651,R474,LD,PAX,RCTP,VVNB,340,11:59:00,10/30/2025
424,A323,M,HVN7212,VNA601,Q2/W1,ND,PAX,VVTS,VVNB,310,12:53:00,10/30/2025
425,A320,M,AIQ870,HSABS,R474,LD,PAX,VTCC,VVNB,330,13:26:00,10/30/2025
426,A320,M,VJC144,VNA820,Q2/W1,ND,PAX,VVTS,VVNB,390,13:02:00,10/30/2025
427,CL35,M,VJT443,9HVCX,R474,LD,PAX,VLVT,VVNB,350,13:59:00,10/30/2025
428,A321,M,HVN610,VNA602,R474,LD,PAX,VTBS,VVNB,330,13:18:00,10/30/2025
429,A320,M,HVN1622,VNA513,W1,ND,PAX,VVPC,VVNB,310,13:40:00,10/30/2025
430,A321,M,CSN8469,B6659,R474,LD,PAX,ZGSZ,VVNB,300/290,13:47:00,10/30/2025
431,A321,M,HVN1552,VNA611,W2/W1 ,ND,PAX,VVCR,VVNB,350,13:43:00,10/30/2025
432,B738,M,BAV242,PKBBK,Q2/W1 ,ND,PAX,VVTS,VVNB,350,13:41:00,10/30/2025
433,A321,M,HVN660,VNA505,M771/L642/L625,LD,PAX,WSSS,VVNB,310,12:37:00,10/30/2025
434,A321,M,HVN170,VNA691,W1,ND,PAX,VVDN,VVNB,290,14:33:00,10/30/2025
435,A320,M,VJC404,VNA684,W7/W1,ND,PAX,VVDL,VVNB,310,14:03:00,10/30/2025
436,A359,H,THY164,TCLGL,L637,LD,PAX,LTFM,VVNB,390,07:01:00,10/30/2025
437,A320,M,LAO311,RDPL34199,R474,LD,PAX,VLVT,VVNB,290,14:46:00,10/30/2025
438,A321,M,VJC408,VNA683,W7/W1 ,ND,PAX,VVDL,VVNB,310,14:09:00,10/30/2025
439,A322,M,VJC462,VNA656,Q2,ND,PAX,VVCT,VVNB,350,13:54:00,10/30/2025
440,A321,M,TUA697,EZF429,R474,LD,PAX,UTAA,VVNB,350,09:15:00,10/30/2025
441,A322,M,HVN1650,VNA326,W2/W1,ND,PAX,VVTH,VVNB,290,14:30:00,10/30/2025
442,A323,M,VJC7008,VNA673,B214/W21,LD,PAX,VEGY,VVNB,330,13:15:00,10/30/2025
443,A320,M,VAG778,9HMLW,Q2/W1,ND,PAX,VVTS,VVNB,350,14:11:00,10/30/2025
444,A320,M,VAG770,VNA136,Q2/W1,ND,PAX,VVTS,VVNB,350,14:17:00,10/30/2025
445,A321,M,VJC1898,VNA546,Q2/W1,ND,PAX,VVTS,VVNB,310,14:25:00,10/30/2025
446,A322,M,HVN1202,VNA605,W1,ND,PAX,VVCT,VVNB,350,14:14:00,10/30/2025
447,A323,M,HVN593,VNA614,R474,LD,PAX,VHHH,VVNB,300,14:37:00,10/30/2025
448,A21N,M,CAL793,B18108,R474,LD,PAX,RCTP,VVNB,340,13:37:00,10/30/2025
449,A320,M,HVN1574,VNA515,W7/W1,ND,PAX,VVDL,VVNB,310,14:43:00,10/30/2025
450,A320,M,VJC953,VNA663,R474,LD,PAX,RJOA,VVNB,360,11:42:00,10/30/2025
451,A321,M,HVN172,VNA358,W1,ND,PAX,VVDN,VVNB,330,15:20:00,10/30/2025
452,A359,H,HVN246,VNA861,Q2/W1,ND,PAX,VVTS,VVNB,410,14:44:00,10/30/2025
453,A321,M,HVN1805,VNA608,W21/R474,ND,PAX,VVDB,VVNB,190,16:00:00,10/30/2025
454,A321,M,VJC900,VNA532,Q2/W1,LD,PAX,WADD,VVNB,350,12:07:00,10/30/2025
455,A321,M,EVA385,B16216,R474,LD,PAX,RCTP,VVNB,340,14:04:00,10/30/2025
456,A321,M,VJC2962,VNA629,R474,LD,PAX,VEGY,VVNB,350,13:58:00,10/30/2025
457,A359,H,HVN248,VNA865,W1,ND,PAX,VVTS,VVNB,390,15:04:00,10/30/2025
458,B744,H,CPA3447,BLIA,R474,LD,PAX,VHHH,VVNB,360,15:14:00,10/30/2025
459,A321,M,SJX717,B58205,R474,LD,PAX,RCTP,VVNB,340,14:16:00,10/30/2025
460,A359,H,HVN250,VNA889,Q2/W1,ND,PAX,VVTS,VVNB,390,15:17:00,10/30/2025
461,A359,H,HVN214,VNA873,Q2/W1,ND,PAX,VVTS,VVNB,390,15:26:00,10/30/2025
462,A321,M,VJC902,VNA667,R474,LD,PAX,VTBS,VVNB,350,15:41:00,10/30/2025
463,A321,M,HVN507,VNA353,R474,LD,PAX,ZGGG,VVNB,320,15:38:00,10/30/2025
464,A321,M,HVN533,VNA356,R474,LD,PAX,ZSPD,VVNB,349,14:24:00,10/30/2025
465,B38M,M,SIA194,9VMBJ,Q2,LD,PAX,WSSS,VVNB,370,14:24:00,10/30/2025
466,A321,M,PIC6400,VNA363,N639/Q1,ND,PAX,VVPQ,VVNB,350,16:01:00,10/30/2025
467,A320,M,VJC446,VNA699,N639/Q2,ND,PAX,VVPQ,VVNB,310,16:03:00,10/30/2025
468,A321,M,HVN614,VNA399,R474,LD,PAX,VTBS,VVNB,350,16:15:00,10/30/2025
469,A321,M,CCA755,B8583,R474,LD,PAX,ZSPD,VVNB,340,14:34:00,10/30/2025
470,A320,M,VJC512,VNA539,W2,ND,PAX,VVDN,VVNB,270,16:55:00,10/30/2025
471,A321,M,HVN212,VNA397,Q2/W1,ND,PAX,VVTS,VVNB,330,16:18:00,10/30/2025
472,A321,M,VJC194,VNA537,Q2/W1,ND,PAX,VVTS,VVNB,350,16:11:00,10/30/2025
473,A320,M,CSN8177,B6252,R474,LD,PAX,ZGGG,VVNB,340,16:34:00,10/30/2025
474,A359,H,HVN216,VNA878,Q2/W1,ND,PAX,VVTS,VVNB,390,16:26:00,10/30/2025
475,A320,M,LAO313,RDPL34228,B465,LD,PAX,VLLB,VVNB,170,17:35:00,10/30/2025
476,A321,M,HVN1558,VNA501,W2/W1,ND,PAX,VVCR,VVNB,330,16:31:00,10/30/2025
477,A320,M,VJC928,VNA669,N639,LD,PAX,WIII,VVNB,350,14:10:00,10/30/2025
478,A321,M,HVN174,VNA398,W1/W10/W3 ,ND,PAX,VVDN,VVNB,270,17:13:00,10/30/2025
479,A320,M,KHV850,XU356,N639/W1 ,LD,PAX,VDTI,VVNB,370,16:41:00,10/30/2025
480,A333,H,CPA743,BHLU,R474,LD,PAX,VHHH,VVNB,400,16:45:00,10/30/2025
481,A321,M,VJC1492,VNA644,Q2/W1,LD,PAX,VVBM,VVNB,310,17:05:00,10/30/2025
482,A20N,M,CSN8359,B322F,R474,LD,PAX,ZGHA,VVNB,280,17:00:00,10/30/2025
483,A321,M,PIC6016,VNA363,Q2/W1 ,ND,PAX,VVTS,VVNB,350,17:05:00,10/30/2025
484,A321,M,HVN254,VNA334,Q2/W1,ND,PAX,VVTS,VVNB,290,17:22:00,10/30/2025
485,B738,M,CSZ105,B1710,R474,LD,PAX,ZGSZ,VVNB,300,17:28:00,10/30/2025
486,A321,M,VJC134,VNA653,Q2/W1 ,ND,PAX,VVTS,VVNB,310,17:18:00,10/30/2025
487,B744,H,CAL6887,B18919,R474,LD,PAX,RCTP,VVNB,380,17:35:00,10/30/2025
488,B788,H,THA564,HSTQF,R474,LD,PAX,VTBS,VVNB,390,17:49:00,10/30/2025
489,A359,H,HVN232,VNA899,Q2/W1,ND,PAX,VVTS,VVNB,410,17:39:00,10/30/2025
490,A321,M,VJC152,VNA814,Q2/W1,ND,PAX,VVTS,VVNB,390,17:42:00,10/30/2025
491,B77L,H,CKK288,B222J,N639/W1,LD,PAX,WSSS,VVNB,350,16:36:00,10/30/2025
492,B77L,H,THY6358,TCLJP,B214/W21,LD,PAX,OMDW,VVNB,410,13:18:00,10/30/2025
493,B738,M,CTJ3861,B5439,R474,LD,PAX,ZUCK,VVNB,260,17:53:00,10/30/2025
494,A320,M,HVN1805,VNA513,W1/W10/W3 ,ND,PAX,VVDN,VVNB,270,18:35:00,10/30/2025
495,A321,M,VJC949,VNA687,R474,LD,PAX,RCMQ,VVNB,340,17:09:00,10/30/2025
496,A359,H,HVN252,VNA877,Q2/W1,ND,PAX,VVTS,VVNB,390,17:56:00,10/30/2025
497,A321,M,BAV262,VNA227,Q2/W10/W1,ND,PAX,VVTS,VVNB,350,17:53:00,10/30/2025
498,A321,M,HVN836,VNA601,N639/Q1,LD,PAX,VDSA,VVNB,310,18:21:00,10/30/2025
499,A321,M,VAG780,VNA289,Q2/W10W1,ND,PAX,VVTS,VVNB,290,17:59:00,10/30/2025
500,A320,M,VJC516,VNA656,W1,ND,PAX,VVDN,VVNB,270,18:49:00,10/30/2025
501,A321,M,VJC424,VNA632,W1,ND,PAX,VVPK,VVNB,310,18:43:00,10/30/2025
502,A320,M,CHB6535,B9949,R474,LD,PAX,ZHES,VVNB,340,17:59:00,10/30/2025
503,B788,H,QTR984,A7BCV,B124/W21,LD,PAX,OTHH,VVNB,370,13:40:00,10/30/2025
504,A319,M,MMA450,XYALN,B124/W21,LD,PAX,VYYY,VVNB,370,18:30:00,10/30/2025
505,A321,M,HVN1544,VNA614,W10/W1,ND,PAX,VVPB,VVNB,270,19:06:00,10/30/2025
